game_date,home_team,away_team,period,game_seconds,time_since_pass,home_team_goals,away_team_goals,team,game_state,passer,shooter,pass_x,pass_y,rec_x,rec_y,shot_x,shot_y,shot_type,shot_outcome,shot_traffic,shot_onetimer,pass_dist,pass_angle,shooter_dist,shot_dist,shot_angle
2021-01-23,Minnesota Whitecaps,Boston Pride,1,53,1,0,0,Minnesota Whitecaps,5v5,Allie Thunstrom,Nina Rodgers,168,75,161,71,167,67,Snapshot,Missed,FALSE,FALSE,8.06225774829855,-56.72511201516508,7.211102550927978,32.55764119219941,-47.48955292199916
2021-01-23,Minnesota Whitecaps,Boston Pride,1,86,2,0,0,Boston Pride,5v5,Jillian Dempsey,McKenna Brand,135,33,168,11,175,17,Snapshot,On Net,FALSE,FALSE,39.66106403010388,10.4914770123316,9.219544457292887,29.5296461204668,61.69924423399363
2021-01-23,Minnesota Whitecaps,Boston Pride,1,190,0,0,0,Minnesota Whitecaps,5v5,Allie Thunstrom,Haylea Schmid,199,32,180,37,181,42,Snapshot,On Net,FALSE,FALSE,19.6468827043885,132.27368900609375,5.0990195135927845,8.06225774829855,7.125016348901798
2021-01-23,Minnesota Whitecaps,Boston Pride,1,222,1,0,0,Boston Pride,5v5,Samantha Davis,Lauren Kelly,197,63,160,75,163,75,Snapshot,On Net,FALSE,FALSE,38.897300677553446,-111.80140948635182,3,41.23105625617661,-50.9061411137705
2021-01-23,Minnesota Whitecaps,Boston Pride,1,316,2,0,0,Boston Pride,5v5,Tori Sullivan,Lexie Laing,131,67,147,75,162,57,Snapshot,Missed,TRUE,FALSE,17.88854381999832,-22.479434397103113,23.430749027719962,30.4138126514911,-27.407575437818405
2021-01-23,Minnesota Whitecaps,Boston Pride,1,338,3,0,0,Boston Pride,5v5,Meaghan Rickard,Carlee Turner,76,67,112,69,143,68,Wristshot,On Net,TRUE,FALSE,36.05551275463989,-11.990834979039253,31.016124838541646,52.354560450833695,-28.523118606312032
2021-01-23,Minnesota Whitecaps,Boston Pride,1,412,2,0,0,Boston Pride,5v5,Tereza Vanisova,Jenna Rheault,144,71,137,28,139,32,Slapshot,Missed,TRUE,FALSE,43.56604182158393,-31.89079180184571,4.47213595499958,51.19570294468082,12.407418527400743
2021-01-23,Minnesota Whitecaps,Boston Pride,1,526,0,0,0,Boston Pride,5v4,Tereza Vanisova,Kaleigh Fratkin,139,16,135,49,135,49,Slapshot,On Net,TRUE,TRUE,33.24154027718932,28.369046293278583,0,54.3323108288245,-6.34019174590991
2021-01-23,Minnesota Whitecaps,Boston Pride,1,554,0,0,0,Boston Pride,5v5,Tori Sullivan,Lexie Laing,161,48,184,35,184,35,Snapshot,On Net,FALSE,TRUE,26.419689627245813,-10.124671655397817,0,9.433981132056603,57.9946167919165
2021-01-23,Minnesota Whitecaps,Boston Pride,1,625,2,0,0,Boston Pride,5v4,Taylor Turnquist,Lauren Kelly,133,29,149,72,150,70,Snapshot,On Net,TRUE,FALSE,45.880278987817846,14.036243467926477,2.23606797749979,47.43416490252569,-34.69515353123397
2021-01-23,Minnesota Whitecaps,Boston Pride,1,702,1,0,0,Minnesota Whitecaps,4v5,Stephanie Anderson,Sydney Baldwin,161,5,157,56,169,58,Snapshot,Blocked,TRUE,FALSE,51.15662224971465,53.61564818416411,12.165525060596439,25,-36.86989764584402
2021-01-23,Minnesota Whitecaps,Boston Pride,1,838,0,0,1,Boston Pride,5v5,Tereza Vanisova,Mallory Souliotis,162,62,145,41,145,41,Fan,Missed,TRUE,TRUE,27.018512172212592,-35.134193056915635,0,44.04543109109048,2.6025622024998065
2021-01-23,Minnesota Whitecaps,Boston Pride,1,924,2,1,1,Boston Pride,5v5,Meaghan Rickard,Meghara McManus,137,65,146,56,159,44,Snapshot,Blocked,TRUE,FALSE,12.727922061357855,-22.932100437589785,17.69180601295413,30.01666203960727,-1.9091524329963763
2021-01-23,Minnesota Whitecaps,Boston Pride,1,962,1,1,1,Boston Pride,5v4,McKenna Brand,Taylor Turnquist,134,55,138,6,155,6,Snapshot,Missed,TRUE,FALSE,49.16299421312742,-12.308015817427927,17,50.24937810560445,47.41950921665634
2021-01-23,Minnesota Whitecaps,Boston Pride,1,973,2,1,1,Boston Pride,5v4,Taylor Turnquist,McKenna Brand,159,16,138,38,147,40,Wristshot,On Net,TRUE,FALSE,30.4138126514911,41.987212495816664,9.219544457292887,42.1070065428546,4.085616779974877
2021-01-23,Minnesota Whitecaps,Boston Pride,1,1034,2,1,1,Boston Pride,5v4,Samantha Davis,Kaleigh Fratkin,161,10,129,47,136,54,Slapshot,Blocked,TRUE,FALSE,48.91829923454004,49.685899839502696,9.899494936611665,54.12947441089743,-11.72511201516508
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1205,2,1,1,Boston Pride,5v5,Kaleigh Fratkin,McKenna Brand,103,14,119,15,163,20,Wristshot,Blocked,TRUE,FALSE,16.0312195418814,18.63458487744639,44.28317965096906,34.713109915419565,41.49646835521554
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1218,0,1,1,Minnesota Whitecaps,5v5,Meghan Lorence,Haley Mack,191,66,173,69,173,69,Snapshot,On Net,TRUE,TRUE,18.24828759089466,-94.96974072811031,0,30.528675044947494,-58.392497753751094
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1279,2,1,1,Minnesota Whitecaps,5v5,Haylea Schmid,Allie Thunstrom,118,6,129,21,170,25,Wristshot,Missed,TRUE,FALSE,18.601075237738275,27.525225743744333,41.19465984809196,26.1725046566048,43.45184230102204
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1302,1,1,1,Minnesota Whitecaps,5v5,Jonna Curtis,Haylea Schmid,151,72,150,49,155,46,Wristshot,Blocked,TRUE,FALSE,23.021728866442675,-37.3493490446406,5.830951894845301,34.132096331752024,-5.042451069170913
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1311,4,1,1,Boston Pride,5v5,Samantha Davis,Mary Parker,61,7,101,72,170,74,Wristshot,On Net,TRUE,FALSE,76.32168761236873,15.708637829015746,69.02897942168927,36.359317925395686,-58.49573328079582
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1326,5,1,1,Minnesota Whitecaps,5v5,Audra Richards,Jonna Curtis,56,16,86,9,164,17,Snapshot,Blocked,TRUE,FALSE,30.805843601498726,11.475526751423041,78.40918313565064,36.069377593742864,46.12330271407543
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1357,1,1,1,Boston Pride,5v5,Jenna Rheault,Meghara McManus,132,24,140,6,156,14,Wristshot,On Net,TRUE,FALSE,19.697715603592208,18.43494882292201,17.88854381999832,43.93176527297759,41.30861401354873
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1404,1,1,1,Boston Pride,5v5,Meaghan Rickard,Mallory Souliotis,191,58,146,56,146,56,Slapshot,Blocked,TRUE,TRUE,45.044422518220834,-97.59464336859145,0,44.9221548904324,-16.82140989004083
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1444,1,1,1,Minnesota Whitecaps,5v5,Chelsey Brodt-Rosenthal,Meghan Lorence,169,24,176,39,176,39,Deflection,On Net,TRUE,FALSE,16.55294535724685,43.53119928561417,0,13.601470508735444,17.10272896905237
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1452,0,1,1,Minnesota Whitecaps,5v5,Stephanie Anderson,Emma Stauber,198,31,163,42,163,42,Wristshot,Blocked,TRUE,FALSE,36.68787265568828,126.86989764584402,0,26.019223662515376,2.2025981617658053
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1479,1,1,1,Boston Pride,5v4,Kaleigh Fratkin,Mallory Souliotis,135,9,135,63,139,59,Wristshot,Missed,TRUE,FALSE,54,32.19573393471325,5.656854249492381,52.49761899362675,-17.744671625056935
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1499,4,1,1,Boston Pride,5v4,Kaleigh Fratkin,Mallory Souliotis,47,46,86,11,161,11,Wristshot,Blocked,TRUE,FALSE,52.40229002629561,-1.2102941689212194,75,42.5205832509386,48.81407483429036
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1540,1,1,1,Boston Pride,5v4,McKenna Brand,Kaleigh Fratkin,188,14,130,9,129,16,Slapshot,Blocked,TRUE,FALSE,58.215118311311535,88.02506598911802,7.0710678118654755,65.79513659838392,24.22774531795417
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1551,1,1,1,Boston Pride,5v4,Christina Putigna,McKenna Brand,152,28,180,23,180,23,Wristshot,On Net,FALSE,FALSE,28.442925306655784,22.067899562410222,0,21.93171219946131,65.77225468204583
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1560,3,1,1,Boston Pride,5v4,McKenna Brand,Christina Putigna,193,22,167,11,157,37,Wristshot,On Net,TRUE,FALSE,28.231188426986208,100.7842978675626,27.85677655436824,32.55764119219941,10.619655276155134
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1572,0,1,1,Boston Pride,5v4,Christina Putigna,Jillian Dempsey,167,29,183,25,183,25,Snapshot,On Net,FALSE,TRUE,16.492422502470642,32.47119229084849,0,18.973665961010276,71.56505117707799
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1646,2,1,1,Minnesota Whitecaps,5v5,Nina Rodgers,Haylea Schmid,106,5,108,37,139,30,Wristshot,On Net,TRUE,FALSE,32.0624390837628,24.599790605157466,31.78049716414141,51.66236541235796,14.574216198038739
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1667,1,1,1,Boston Pride,5v5,Lexie Laing,Paige Capistran,173,83,129,75,128,64,Wristshot,Missed,TRUE,FALSE,44.721359549995796,-68.19859051364818,11.045361017187261,64.51356446515724,-18.99665415548856
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1687,1,1,1,Boston Pride,5v5,Mary Parker,Jenna Rheault,157,3,131,6,130,18,Slapshot,Blocked,TRUE,FALSE,26.1725046566048,51.34019174590991,12.041594578792296,64.07807737440318,22.96377305985455
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1798,2,1,1,Minnesota Whitecaps,5v5,Stephanie Anderson,Meghan Lorence,95,58,122,11,154,15,Wristshot,Blocked,TRUE,FALSE,54.20332093147061,-9.066502739816176,32.2490309931942,44.82186966202994,38.65980825409009
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1823,1,1,1,Minnesota Whitecaps,5v5,Meghan Lorence,Haley Mack,150,21,160,6,167,24,Wristshot,Missed,TRUE,FALSE,18.027756377319946,29.42745640318974,19.313207915827967,29.068883707497267,40.81508387488159
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1916,1,1,1,Minnesota Whitecaps,5v5,Nina Rodgers,Audra Richards,158,38,182,43,184,39,Wristshot,On Net,FALSE,FALSE,24.515301344262525,9.16234704572171,4.47213595499958,6.4031242374328485,38.65980825409009
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1930,1,2,1,Boston Pride,5v5,Paige Capistran,Samantha Davis,145,84,182,59,182,59,Deflection,On Net,TRUE,FALSE,44.654227123532216,-42.978635059643985,0,17.46424919657298,-66.37062226934319
2021-01-23,Minnesota Whitecaps,Boston Pride,2,1982,4,2,1,Minnesota Whitecaps,5v5,Sydney Baldwin,Meghan Lorence,119,45,125,17,164,26,Snapshot,Blocked,TRUE,FALSE,28.635642126552707,-1.6365770416167182,40.024992192379,30.23243291566195,34.2157021324374
2021-01-23,Minnesota Whitecaps,Boston Pride,2,2015,3,2,1,Minnesota Whitecaps,5v5,Meghan Lorence,Sydney Baldwin,173,5,189,10,159,32,Snapshot,On Net,TRUE,FALSE,16.76305461424021,67.16634582208245,37.20215047547655,31.953090617340916,20.136303428248134
2021-01-23,Minnesota Whitecaps,Boston Pride,2,2120,1,2,1,Boston Pride,5v5,Samantha Davis,Lauren Kelly,170,84,127,79,128,60,Slapshot,Missed,TRUE,FALSE,43.289721643826724,-65.13630342824813,19.026297590440446,63.324560795950255,-15.572543596810261
2021-01-23,Minnesota Whitecaps,Boston Pride,2,2203,1,2,1,Minnesota Whitecaps,4v5,Meghan Lorence,Stephanie Anderson,164,69,171,34,171,34,Snapshot,On Net,FALSE,TRUE,35.6931365951495,-46.12330271407543,0,20.12461179749811,26.56505117707799
2021-01-23,Minnesota Whitecaps,Boston Pride,2,2361,1,2,1,Minnesota Whitecaps,5v4,Meghan Lorence,Nina Rodgers,165,12,168,73,168,73,Fan,Missed,FALSE,TRUE,61.07372593840988,52.253194612725345,0,36.61966684720111,-55.00797980144134
2021-01-23,Minnesota Whitecaps,Boston Pride,2,2367,1,2,1,Minnesota Whitecaps,5v4,Haley Mack,Meghan Lorence,197,56,168,32,168,32,Snapshot,On Net,FALSE,TRUE,37.64306044943742,-121.60750224624891,0,23.706539182259394,27.64597536373868
2021-01-23,Minnesota Whitecaps,Boston Pride,3,2446,2,2,1,Minnesota Whitecaps,5v4,Meghan Lorence,Sydney Baldwin,164,4,125,36,128,50,Wristshot,Blocked,TRUE,FALSE,50.44799302251776,57.33908727832619,14.317821063276353,61.40032573203501,-6.546290783294036
2021-01-23,Minnesota Whitecaps,Boston Pride,3,2462,4,2,1,Minnesota Whitecaps,5v5,Sydney Baldwin,Jonna Curtis,33,27,113,4,161,20,Wristshot,Blocked,TRUE,FALSE,83.24061508662703,5.856013585428958,50.59644256269407,36.235341863986875,39.400660663479435
