game_date,home_team,away_team,period,clock,game_seconds,time_btw_events,home_team_skaters,away_team_skaters,home_team_goals,away_team_goals,team,player,event,x_coordinate,y_coordinate,detail_1,detail_2,detail_3,detail_4,player_2,x_coordinate_2,y_coordinate_2,shot_from_pass,pass_to_shot
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:08:00,52,NA,5,5,0,0,Minnesota Whitecaps,Allie Thunstrom,Play,168,10,Direct,NA,NA,NA,Nina Rodgers,161,14,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:07:00,53,1,5,5,0,0,Minnesota Whitecaps,Nina Rodgers,Shot,167,18,Snapshot,Missed,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:36:00,84,NA,5,5,0,0,Boston Pride,Jillian Dempsey,Play,135,52,Direct,NA,NA,NA,McKenna Brand,168,74,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:34:00,86,2,5,5,0,0,Boston Pride,McKenna Brand,Shot,175,68,Snapshot,On Net,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:50:00,190,NA,5,5,0,0,Minnesota Whitecaps,Allie Thunstrom,Play,199,53,Direct,NA,NA,NA,Haylea Schmid,180,48,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:50:00,190,0,5,5,0,0,Minnesota Whitecaps,Haylea Schmid,Shot,181,43,Snapshot,On Net,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:19:00,221,NA,5,5,0,0,Boston Pride,Samantha Davis,Play,197,22,Direct,NA,NA,NA,Lauren Kelly,160,10,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:18:00,222,1,5,5,0,0,Boston Pride,Lauren Kelly,Shot,163,10,Snapshot,On Net,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:00:00,240,NA,5,5,0,0,Boston Pride,Paige Capistran,Play,30,4,Indirect,NA,NA,NA,Jillian Dempsey,98,3,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,15:56:00,244,4,5,5,0,0,Boston Pride,Jillian Dempsey,Shot,149,19,Snapshot,On Net,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:46:00,314,NA,5,5,0,0,Boston Pride,Tori Sullivan,Play,131,18,Direct,NA,NA,NA,Lexie Laing,147,10,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:44:00,316,2,5,5,0,0,Boston Pride,Lexie Laing,Shot,162,28,Snapshot,Missed,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:25:00,335,NA,5,5,0,0,Boston Pride,Meaghan Rickard,Play,76,18,Direct,NA,NA,NA,Carlee Turner,112,16,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:22:00,338,3,5,5,0,0,Boston Pride,Carlee Turner,Shot,143,17,Wristshot,On Net,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,13:10:00,410,NA,5,5,0,0,Boston Pride,Tereza Vanisova,Play,144,14,Direct,NA,NA,NA,Jenna Rheault,137,57,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,13:08:00,412,2,5,5,0,0,Boston Pride,Jenna Rheault,Shot,139,53,Slapshot,Missed,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,12:20:00,460,NA,4,5,0,0,Boston Pride,Taylor Turnquist,Play,152,84,Indirect,NA,NA,NA,Christina Putigna,139,79,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,12:17:00,463,3,4,5,0,0,Boston Pride,Christina Putigna,Shot,166,32,Snapshot,On Net,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,11:14:00,526,NA,4,5,0,0,Boston Pride,Tereza Vanisova,Play,139,69,Direct,NA,NA,NA,Kaleigh Fratkin,135,36,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,11:14:00,526,0,4,5,0,0,Boston Pride,Kaleigh Fratkin,Shot,135,36,Slapshot,On Net,TRUE,TRUE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,10:46:00,554,NA,5,5,0,0,Boston Pride,Tori Sullivan,Play,161,37,Direct,NA,NA,NA,Lexie Laing,184,50,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,10:46:00,554,0,5,5,0,0,Boston Pride,Lexie Laing,Shot,184,50,Snapshot,On Net,FALSE,TRUE,NA,NA,NA,TRUE,FALSE
