game_date,home_team,away_team,period,game_seconds,time_since_pass,home_team_skaters,away_team_skaters,home_team_goals,away_team_goals,team,event,passer,pass_type,pass_x,pass_y,rec_x,rec_y,shooter,shot_x,shot_y,shot_type,shot_outcome,shot_traffic,shot_onetimer,pass_dist,shooter_dist,shot_dist
2021-01-23,Minnesota Whitecaps,Boston Pride,1,53,1,5,5,0,0,Minnesota Whitecaps,Shot,Allie Thunstrom,Direct,168,75,161,71,Nina Rodgers,167,67,Snapshot,Missed,FALSE,FALSE,8.06225774829855,7.211102550927978,32.55764119219941
2021-01-23,Minnesota Whitecaps,Boston Pride,1,86,2,5,5,0,0,Boston Pride,Shot,Jillian Dempsey,Direct,135,33,168,11,McKenna Brand,175,17,Snapshot,On Net,FALSE,FALSE,39.66106403010388,9.219544457292887,29.5296461204668
2021-01-23,Minnesota Whitecaps,Boston Pride,1,190,0,5,5,0,0,Minnesota Whitecaps,Shot,Allie Thunstrom,Direct,199,32,180,37,Haylea Schmid,181,42,Snapshot,On Net,FALSE,FALSE,19.6468827043885,5.0990195135927845,8.06225774829855
2021-01-23,Minnesota Whitecaps,Boston Pride,1,222,1,5,5,0,0,Boston Pride,Shot,Samantha Davis,Direct,197,63,160,75,Lauren Kelly,163,75,Snapshot,On Net,FALSE,FALSE,38.897300677553446,3,41.23105625617661
2021-01-23,Minnesota Whitecaps,Boston Pride,1,244,4,5,5,0,0,Boston Pride,Shot,Paige Capistran,Indirect,30,81,98,82,Jillian Dempsey,149,66,Snapshot,On Net,FALSE,FALSE,68.00735254367721,53.45091205957107,46.14108798023731
2021-01-23,Minnesota Whitecaps,Boston Pride,1,316,2,5,5,0,0,Boston Pride,Shot,Tori Sullivan,Direct,131,67,147,75,Lexie Laing,162,57,Snapshot,Missed,TRUE,FALSE,17.88854381999832,23.430749027719962,30.4138126514911
2021-01-23,Minnesota Whitecaps,Boston Pride,1,338,3,5,5,0,0,Boston Pride,Shot,Meaghan Rickard,Direct,76,67,112,69,Carlee Turner,143,68,Wristshot,On Net,TRUE,FALSE,36.05551275463989,31.016124838541646,52.354560450833695
2021-01-23,Minnesota Whitecaps,Boston Pride,1,412,2,5,5,0,0,Boston Pride,Shot,Tereza Vanisova,Direct,144,71,137,28,Jenna Rheault,139,32,Slapshot,Missed,TRUE,FALSE,43.56604182158393,4.47213595499958,51.19570294468082
2021-01-23,Minnesota Whitecaps,Boston Pride,1,463,3,4,5,0,0,Boston Pride,Shot,Taylor Turnquist,Indirect,152,1,139,6,Christina Putigna,166,53,Snapshot,On Net,TRUE,FALSE,13.92838827718412,54.20332093147061,25.079872407968907
2021-01-23,Minnesota Whitecaps,Boston Pride,1,526,0,4,5,0,0,Boston Pride,Shot,Tereza Vanisova,Direct,139,16,135,49,Kaleigh Fratkin,135,49,Slapshot,On Net,TRUE,TRUE,33.24154027718932,0,54.3323108288245
2021-01-23,Minnesota Whitecaps,Boston Pride,1,554,0,5,5,0,0,Boston Pride,Shot,Tori Sullivan,Direct,161,48,184,35,Lexie Laing,184,35,Snapshot,On Net,FALSE,TRUE,26.419689627245813,0,9.433981132056603
2021-01-23,Minnesota Whitecaps,Boston Pride,1,625,2,4,5,0,0,Boston Pride,Shot,Taylor Turnquist,Direct,133,29,149,72,Lauren Kelly,150,70,Snapshot,On Net,TRUE,FALSE,45.880278987817846,2.23606797749979,47.43416490252569
