feature,importance
shot_angle,0.063667428
shot_x,0.058228585
shot_dist,0.055362833
rec_x,0.050586467
shooter_dist,0.04586463
pass_x,0.043424392
game_seconds,0.041099512
pass_angle,0.040850085
pass_dist,0.03976617
pass_y,0.037018976
shot_y,0.036672895
rec_y,0.033595554
shot_traffic,0.032851516
time_since_pass,0.021526754
home_team_goals,0.019540881
away_team_goals,0.015437723
period,0.01380866
shot_type-Snapshot,0.00826324
game_state-5v4,0.008169816
shot_type-Fan,0.007787465
shot_type-Wristshot,0.007469402
game_state-5v5,0.007079984
home_team-Metropolitan Riveters,0.007069941
away_team-Boston Pride,0.007006123
away_team-Toronto Six,0.006774663
shot_onetimer,0.006606957
away_team-Minnesota Whitecaps,0.00623806
home_team-Buffalo Beauts,0.006194961
team-Boston Pride,0.006025829
home_team-Toronto Six,0.005689471
team-Toronto Six,0.005482607
shot_type-Slapshot,0.005394063
home_team-Connecticut Whale,0.005080667
team-Buffalo Beauts,0.004869493
home_team-Boston Pride,0.004494469
team-Minnesota Whitecaps,0.004399391
away_team-Buffalo Beauts,0.004237649
away_team-Connecticut Whale,0.003944713
team-Metropolitan Riveters,0.003831782
team-Connecticut Whale,0.003757615
shooter-Taylor Turnquist,0.003671039
home_team-Minnesota Whitecaps,0.003555294
away_team-Metropolitan Riveters,0.00315957
passer-Brooke Boquist,0.003056702
shooter-Lindsay Eastwood,0.002670705
passer-Alyson Matteau,0.00256302
shooter-McKenna Brand,0.002558848
passer-Emma Vlasic,0.002505692
passer-Taylor Turnquist,0.002459291
shooter-Sydney Baldwin,0.002452819
passer-Kate Leary,0.002442943
passer-Mikyla Grant-Mentis,0.002437868
shooter-Emma Woods,0.00239301
game_state-4v4,0.002385012
passer-Breanne Wilson-Bennett,0.002330993
shooter-Kristin Lewicki,0.002319936
passer-Haley Mack,0.002291095
passer-Tereza Vanisova,0.002215562
passer-Samantha Davis,0.002207285
shooter-Madison Packer,0.002190516
passer-Sarah Steele,0.002141629
shooter-Sarah-Eve Coutu Godbout,0.002130115
shooter-Mikyla Grant-Mentis,0.002128543
shooter-Kiira Dosdall,0.002080101
passer-Sarah-Eve Coutu Godbout,0.002049861
shooter-Mallory Souliotis,0.002041634
shooter-Lauren Kelly,0.002029923
passer-Megan Quinn,0.002008169
shooter-Meghan Lorence,0.002006629
passer-Shiann Darkangelo,0.001935259
passer-Erin Gehen,0.001921089
passer-McKenna Brand,0.001894256
shooter-Kayla Friesen,0.00189297
shooter-Emma Greco,0.001877186
shooter-Taytum Clairmont,0.001876526
passer-Autumn MacDougall,0.001774724
shooter-Breanne Wilson-Bennett,0.001769503
passer-Rebecca Russo,0.001766993
shooter-Jonna Curtis,0.001764046
passer-Kaleigh Fratkin,0.001742081
shooter-Brooke Stacey,0.001717437
shooter-Shiann Darkangelo,0.001715505
passer-Jillian Dempsey,0.001692041
passer-Taylor Woods,0.001676919
shooter-Samantha Davis,0.00167321
shooter-Stephanie Anderson,0.001634721
shooter-Christina Putigna,0.001603223
passer-Christina Putigna,0.001591575
shooter-Jordan Juron,0.001589655
passer-Lauren Kelly,0.001578742
shot_type-Deflection,0.001572043
shooter-Brooke Boquist,0.001549891
passer-Kelly Babstock,0.001515554
game_state-5v3,0.001513299
shooter-Taylor Woods,0.001512754
passer-Jonna Curtis,0.001497108
passer-Mallory Souliotis,0.001486644
passer-Tori Sullivan,0.001465283
shooter-Kaleigh Fratkin,0.001450152
shooter-Tori Sullivan,0.001444569
passer-Jordan Juron,0.001440431
passer-Kristin Lewicki,0.001437385
shooter-Emma Vlasic,0.001433797
shooter-Autumn MacDougall,0.001413997
passer-Lindsay Eastwood,0.001404914
shooter-Taylor Wenczkowski,0.001386001
shot_type-Wrap Around,0.001384873
shooter-Whitney Dove,0.001363089
passer-Madison Packer,0.001313723
shooter-Leila Kilduff,0.001190224
shooter-Mackenzie MacNeil,0.001177592
passer-Alyssa Wohlfeiler,0.001174019
shooter-Erin Gehen,0.001147209
shooter-Lexie Laing,0.001143023
passer-Nina Rodgers,0.001139746
shooter-Tereza Vanisova,0.001119851
passer-Carlee Turner,0.001103953
passer-Kaycie Anderson,0.001091882
passer-Maddie Rowe,0.00104145
